occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
394,304.06,428360,290985.75,6,0.0,0.6793,0.7717,0.0,GOOGLE,65.6667
4,5.66,2294,3244.21,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
0.5,0.71,104.5,147.79,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,6.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
4,1.41,178,65.05,2.5,0.71,0.3655,0.3536,0.2828,EBAY,1.6
8,11.31,4282,6055.66,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
