occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
5.5,4.95,347,299.81,2,1.41,0.864,0.9,0.7071,GOOGLE,2.75
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9
0.5,0.71,31,43.84,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,4
2,2.83,99.5,140.71,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,2
8.5,12.02,409.5,579.12,4,5.66,1.4142,1.4142,1.4142,EBAY,2.125
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4
5,5.66,323.5,383.96,1.5,0.71,1.1869,1.1314,0.4714,AMAZON-02,3.3333
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1
0,0,0,0,0,0,-1,-1,-1,,0
